"","id","title","date","loc","loc_clean","loc_geo","lat","lon"
"33","48","Kim Jong Un Guides Skiing Training of Mountain Infantry Battalion under KPA Unit 1045 ","  2016-11-26","Kim Jong Un Guides Skiing Training of Mountain Infantry Battalion under KPA Unit 1045","Army Base","?",NA,NA
"34","49","Kim Jong Un Inspects Headquarters of Large Combined Unit 380 of KPA ","  2016-11-25","Headquarters of Large Combined Unit 380 of KPA","Army Headquarters","?",NA,NA
"35","51","Kim Jong Un Visits August 25 Fishery Station of KPA ","  2016-11-21","August 25 Fishery Station of KPA","August 25 Fishery Station of KPA","?",NA,NA
"36","53","Kim Jong Un Guides Firing Contest among Women MLRS Gunners of KPA ","  2016-11-19","Kim Jong Un Guides Firing Contest among Women MLRS Gunners of KPA","Army Base","?",NA,NA
"37","54","Kim Jong Un Inspects Fishery Stations of KPA ","  2016-11-17","Fishery Stations of KPA","Fishery Stations of KPA","?",NA,NA
"38","55","Kim Jong Un Inspects Southernmost Islet Detachment in Western Sector of Front ","  2016-11-14","Southernmost Islet Detachment in Western Sector of Front","Islet Defense Detachment","Kalli-do, North Korea","39.6241667","124.8702778"
"39","56","Kim Jong Un Inspects Islet Defence Detachment in Western Sector of Front ","  2016-11-11","Islet Defence Detachment in Western Sector of Front","Islet Defense Detachment","Mahap-to, North Korea","37.92","124.96"
"40","57","Kim Jong Un Inspects Army Sub-unit ","  2016-11-09","Army Sub-unit","Army Base","?",NA,NA
"41","58","Kim Jong Un Inspects KPA Special Operation Battalion ","  2016-11-04","KPA Special Operation Battalion","Army Base","?",NA,NA
"42","60","Kim Jong Un Provides Field Guidance to Ryongaksan Soap Factory ","  2016-10-29","Ryongaksan Soap Factory","Ryongaksan Soap Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"43","62","Kim Jong Un Inspects Newly-Built Ophthalmic Hospital ","  2016-10-18"," Ophthalmic Hospital","Ryugyong General Ophthalmic Hospital","Pyongyang, North Korea","39.0392193","125.7625241"
"44","63","Kim Jong Un Inspects Mangyongdae Revolutionary Site Souvenir Factory ","  2016-10-07","Mangyongdae Revolutionary Site Souvenir Factory","Mangyongdae Revolutionary Site Souvenir Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"45","65","Kim Jong Un Inspects Ryongaksan Spring Water Factory ","  2016-09-30","Ryongaksan Spring Water Factory","Ryongaksan Spring Water Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"46","66","Kim Jong Un Gives Field Guidance to Taedonggang Syringe Factory ","  2016-09-24","Taedonggang Syringe Factory","Taedonggang Syringe Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"47","68","Kim Jong Un Guides Ground Jet Test of New-type High-Power Engine of Carrier Rocket for Geo-stationary Satellite ","  2016-09-20","Kim Jong Un Guides Ground Jet Test of New-type High-Power Engine of Carrier Rocket for Geo-stationary Satellite","Sohae Satellite Launching Station","North Pyongan, North Korea","39.9255618","125.3928025"
"48","69","Kim Jong Un Visits Kosan Combined Fruit Farm ","  2016-09-19","Kosan Combined Fruit Farm","Kosan Combined Fruit Farm","Kosan, Kangwon, North Korea","38.8559689","127.4214244"
"49","70","Kim Jong Un Visits Newly-built Medical Oxygen Factory ","  2016-09-16"," Medical Oxygen Factory","Medical Oxygen Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"50","71","Kim Jong Un Visits Farm No. 1116","  2016-09-13","Farm No. 1116","Farm No. 1116","?",NA,NA
"51","72","Kim Jong Un Guides Fire Drill of Ballistic Rockets ","  2016-09-06","Kim Jong Un Guides Fire Drill of Ballistic Rockets","Missile Test Site","?",NA,NA
"52","78","Kim Jong Un Guides Strategic Submarine Underwater Ballistic Missile Test-fire ","  2016-08-26","Kim Jong Un Guides Strategic Submarine Underwater Ballistic Missile Test-fire","Missile Test Site","?",NA,NA
"53","79","Kim Jong Un Gives Field Guidance to Taedonggang Combined Fruit Farm ","  2016-08-18","Taedonggang Combined Fruit Farm","Taedonggang Combined Fruit Farm","Pyongyang, North Korea","39.0392193","125.7625241"
"54","80","Kim Jong Un Visits Taedonggang Pig Farm ","  2016-08-18","Taedonggang Pig Farm","Taedonggang Pig Farm","Pyongyang, North Korea","39.0392193","125.7625241"
"55","81","Kim Jong Un Goes Round Process for Production of Acrylic Paints Newly Built at Sunchon Chemical Complex ","  2016-08-13","Kim Jong Un Goes Round Process for Production of Acrylic Paints  at Sunchon Chemical Complex","Sunchon Chemical Complex","Sunchon, South Pyongan, North Korea","39.4252696","125.9295773"
"56","82","Kim Jong Un Gives Field Guidance to January 18 General Machine Plant ","  2016-08-10","January 18 General Machine Plant","January 18 General Machine Plant","South Pyongan, North Korea","39.3539178","126.168271"
"57","84","Kim Jong Un Guides 3rd Meeting of KPA Activists in O Jung Hup-led 7th Regiment Title Movement ","  2016-08-04","Kim Jong Un Guides 3rd Meeting of KPA Activists in O Jung Hup-led 7th Regiment Title Movement","April 25 House of Culture","Pyongyang, North Korea","39.0392193","125.7625241"
"58","85","Kim Jong Un Inspects Newly-Built Combined Fishing-tackle Factory of KPA ","  2016-07-30"," Combined Fishing-tackle Factory of KPA","Combined Fishing-tackle Factory of KPA","?",NA,NA
"59","86","Kim Jong Un Provides Field Guidance to Chollima Building Materials Complex ","  2016-07-28","Chollima Building Materials Complex","Chollima Building Materials Complex","Pyongyang, North Korea","39.0392193","125.7625241"
"60","87","Kim Jong Un Inspects Fish Food Factory under KPA Unit ","  2016-07-25","Fish Food Factory under KPA Unit","Fish Food Factory under KPA Unit","?",NA,NA
"61","88","Kim Jong Un Guides Drill for Ballistic Rocket Fire ","  2016-07-20","Kim Jong Un Guides Drill for Ballistic Rocket Fire","Missile Test Site","?",NA,NA
"62","89","Kim Jong Un Enjoys Art Performance Given by KPA Officers' Wives ","  2016-07-16","Kim Jong Un Enjoys Art Performance Given by KPA Officers' Wives","Army Base","?",NA,NA
"63","90","Kim Jong Un Provides Field Guidance to Paektusan Architectural Institute ","  2016-07-14","Paektusan Architectural Institute","Paektusan Institute of Architecture","Pyongyang, North Korea","39.0392193","125.7625241"
"64","91","Kim Jong Un Provides Field Guidance to Phyongsong Synthetic Leather Factory ","  2016-07-12","Phyongsong Synthetic Leather Factory","Phyongsong Synthetic Leather Factory","Pyongsong, South Pyongan, North Korea","39.2604149","125.861953"
"65","92","Kim Jong Un Visits Kumsusan Palace of Sun ","  2016-07-08","Kumsusan Palace of Sun","Kumsusan Palace of Sun","Pyongyang, North Korea","39.0392193","125.7625241"
"66","93","Kim Jong Un Inspects Pyongyang Terrapin Farm ","  2016-07-06","Pyongyang Terrapin Farm","Pyongyang Terrapin Farm","Pyongyang, North Korea","39.0392193","125.7625241"
"67","94","Kim Jong Un Gives Field Guidance to Newly Built Pyongyang Orphans' Secondary School ","  2016-07-04"," Pyongyang Orphans' Secondary School","Pyongyang Orphans' Secondary School","Pyongyang, North Korea","39.0392193","125.7625241"
"68","98","Kim Jong Un Guides Test-fire of Hwasong-10 ","  2016-06-23","Kim Jong Un Guides Test-fire of Hwasong-10","Missile Test Site","?",NA,NA
"69","99","Kim Jong Un Visits Kim Jong Suk Pyongyang Silk Mill ","  2016-06-21","Kim Jong Suk Pyongyang Silk Mill","Kim Jong Suk Pyongyang Silk Mill","Pyongyang, North Korea","39.0392193","125.7625241"
"70","100","Kim Jong Un Visits Pyongyang Cornstarch Factory ","  2016-06-16","Pyongyang Cornstarch Factory","Pyongyang Cornstarch Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"71","101","Kim Jong Un Visits National Defence University ","  2016-06-13","National Defence University","National Defence University","Kanggye, Chagang, North Korea","40.9676726","126.5990916"
"72","102","Kim Jong Un Inspects Ryugyong Pickle Factory ","  2016-06-10","Ryugyong Pickle Factory","Ryugyong Pickle Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"73","104","Kim Jong Un Watches Performance Given by Schoolchildren ","  2016-06-08","Kim Jong Un Watches Performance Given by Schoolchildren","Mangyongdae Schoolchildren's Palace","Pyongyang, North Korea","39.0392193","125.7625241"
"74","105","Kim Jong Un Provides Field Guidance to Construction Site of Ryongaksan Soap Factory ","  2016-06-04","Construction Site of Ryongaksan Soap Factory","Ryongaksan Soap Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"75","106","Kim Jong Un Provides Field Guidance to Remodeled Mangyongdae Children's Camp ","  2016-06-04","Remodeled Mangyongdae Children's Camp","Mangyongdae Children's Camp","Pyongyang, North Korea","39.0392193","125.7625241"
"76","107","Kim Jong Un Gives Field Guidance to Pyongyang Sports Apparatus Factory ","  2016-06-02","Pyongyang Sports Apparatus Factory","Pyongyang Sports Apparatus Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"77","108","Kim Jong Un Inspects Construction Site of Medical Oxygen Factory ","  2016-05-30","Construction Site of Medical Oxygen Factory","Medical Oxygen Factory","Pyongyang, North Korea","39.0392193","125.7625241"
"78","109","Kim Jong Un Watches Friendly Basketball Game between DPRK and China ","  2016-05-30","Kim Jong Un Watches Friendly Basketball Game between DPRK and China","Basketball Stadium","Pyongyang, North Korea","39.0392193","125.7625241"
"79","110","Kim Jong Un Visits Ryugyong General Ophthalmic Hospital under Construction ","  2016-05-27","Ryugyong General Ophthalmic Hospital ","Ryugyong General Ophthalmic Hospital ","Pyongyang, North Korea","39.0392193","125.7625241"
"80","111","Kim Jong Un Visits Kwisong Saltern ","  2016-05-24","Kwisong Saltern","Kwisong Saltern","Nampo, South Pyongan, North Korea","38.7522606","125.3246769"
"81","112","Kim Jong Un Inspects Nature Museum and Central Zoo ","  2016-05-21","Nature Museum and Central Zoo","Nature Museum and Central Zoo","Pyongyang, North Korea","39.0392193","125.7625241"
"82","113","Kim Jong Un Inspects Machine Plant ","  2016-05-19","Machine Plant","Machine Plant","?",NA,NA
"83","114","Kim Jong Un Provides Field Guidance to Tree Nursery of KPA ","  2016-05-16","Tree Nursery of KPA","Tree Nursery No. 122","Pyongyang, North Korea","39.0392193","125.7625241"
